  CEE 1   160.682282 134.75264 -87.5244071 -0.576037046 322.10275 1.44568812 -11 -6 3 2
  CEE 1 160.682282238 143.174680000 -72.937005917 -0.471160505 322.102750000 1.445688120 -11 -5 3 2
  CEE 1 154.378543224 101.064480000 -116.699209467 -0.857071948 322.102750000 1.481640856 -10 -8 65 2
  CEE 1 149.713457821 109.486520000 -102.111808284 -0.750559855 322.102750000 1.509389488 -10 -7 130 2
  CEE 1 146.843285034 117.908560000 -87.524407100 -0.638559696 322.102750000 1.526973140 -10 -6 167 2
  CEE 1 145.874011834 126.330600000 -72.937005917 -0.523598776 322.102750000 1.533002512 -10 -5 177 2
  CEE 1 146.843285034 134.752640000 -58.349604734 -0.408637855 322.102750000 1.526973140 -10 -4 166 2
  CEE 1 149.713457821 143.174680000 -43.762203550 -0.296637697 322.102750000 1.509389488 -10 -3 132 2
  CEE 1 154.378543224 151.596720000 -29.174802367 -0.190125603 322.102750000 1.481640856 -10 -2 66 2
  CEE 1 151.596720000 75.798360000 -131.286610650 -1.047197551 322.102750000 1.498066179 -9 -9 108 2
  CEE 1 143.915882606 84.220400000 -116.699209467 -0.945662574 322.102750000 1.545327284 -9 -8 192 2
  CEE 1 137.874736918 92.642440000 -102.111808284 -0.833982041 322.102750000 1.584617056 -9 -7 192 2
  CEE 1 133.695740231 101.064480000 -87.524407100 -0.713724379 322.102750000 1.612979130 -9 -6 192 2
  CEE 1 131.556470361 109.486520000 -72.937005917 -0.587661025 322.102750000 1.627894693 -9 -5 192 2
  CEE 1 131.556470361 117.908560000 -58.349604734 -0.459536526 322.102750000 1.627894693 -9 -4 192 2
  CEE 1 133.695740231 126.330600000 -43.762203550 -0.333473172 322.102750000 1.612979130 -9 -3 192 2
  CEE 1 137.874736918 134.752640000 -29.174802367 -0.213215510 322.102750000 1.584617056 -9 -2 192 2
  CEE 1 143.915882606 143.174680000 -14.587401183 -0.101534977 322.102750000 1.545327284 -9 -1 191 2
  CEE 1 151.596720000 151.596720000 0.000000000 0.000000000 322.102750000 1.498066179 -9 0 105 2
  CEE 1 154.378543224 50.532240000 -145.874011834 -1.237323155 322.102750000 1.481640856 -8 -10 65 2
  CEE 1 143.915882606 58.954280000 -131.286610650 -1.148732528 322.102750000 1.545327284 -8 -9 192 2
  CEE 1 134.752640000 67.376320000 -116.699209467 -1.047197551 322.102750000 1.605710772 -8 -8 192 2
  CEE 1 127.170015214 75.798360000 -102.111808284 -0.932236631 322.102750000 1.659363219 -8 -7 192 2
  CEE 1 121.464388256 84.220400000 -87.524407100 -0.804633677 322.102750000 1.702188730 -8 -6 192 2
  CEE 1 117.908560000 92.642440000 -72.937005917 -0.666946345 322.102750000 1.730040043 -8 -5 192 1
  CEE 1 116.699209467 101.064480000 -58.349604734 -0.523598776 322.102750000 1.739727288 -8 -4 192 1
  CEE 1 117.908560000 109.486520000 -43.762203550 -0.380251207 322.102750000 1.730040043 -8 -3 192 1
  CEE 1 121.464388256 117.908560000 -29.174802367 -0.242563874 322.102750000 1.702188730 -8 -2 192 2
  CEE 1 127.170015214 126.330600000 -14.587401183 -0.114960921 322.102750000 1.659363219 -8 -1 192 2
  CEE 1 134.752640000 134.752640000 0.000000000 0.000000000 322.102750000 1.605710772 -8 0 192 2
  CEE 1 143.915882606 143.174680000 14.587401183 0.101534977 322.102750000 1.545327284 -8 1 191 2
  CEE 1 154.378543224 151.596720000 29.174802367 0.190125603 322.102750000 1.481640856 -8 2 66 2
  CEE 1 149.713457821 33.688160000 -145.874011834 -1.343835248 322.102750000 1.509389488 -7 -10 130 2
  CEE 1 137.874736918 42.110200000 -131.286610650 -1.260413061 322.102750000 1.584617056 -7 -9 192 2
  CEE 1 127.170015214 50.532240000 -116.699209467 -1.162158472 322.102750000 1.659363219 -7 -8 192 2
  CEE 1 117.908560000 58.954280000 -102.111808284 -1.047197551 322.102750000 1.730040043 -7 -7 192 1
  CEE 1 110.454019098 67.376320000 -87.524407100 -0.914742953 322.102750000 1.791598532 -7 -6 192 1
  CEE 1 105.191245885 75.798360000 -72.937005917 -0.766162650 322.102750000 1.837893470 -7 -5 192 1
  CEE 1 102.458538681 84.220400000 -58.349604734 -0.605891119 322.102750000 1.862946104 -7 -4 192 1
  CEE 1 102.458538681 92.642440000 -43.762203550 -0.441306432 322.102750000 1.862946104 -7 -3 192 1
  CEE 1 105.191245885 101.064480000 -29.174802367 -0.281034902 322.102750000 1.837893470 -7 -2 192 1
  CEE 1 110.454019098 109.486520000 -14.587401183 -0.132454598 322.102750000 1.791598532 -7 -1 192 1
  CEE 1 117.908560000 117.908560000 0.000000000 0.000000000 322.102750000 1.730040043 -7 0 192 1
  CEE 1 127.170015214 126.330600000 14.587401183 0.114960921 322.102750000 1.659363219 -7 1 192 2
  CEE 1 137.874736918 134.752640000 29.174802367 0.213215510 322.102750000 1.584617056 -7 2 192 2
  CEE 1 149.713457821 143.174680000 43.762203550 0.296637697 322.102750000 1.509389488 -7 3 132 2
  CEE 1 160.682282238 8.422040000 -160.461413017 -1.518358056 322.102750000 1.445688120 -6 -11 3 2
  CEE 1 146.843285034 16.844080000 -145.874011834 -1.455835406 322.102750000 1.526973140 -6 -10 167 2
  CEE 1 133.695740231 25.266120000 -131.286610650 -1.380670723 322.102750000 1.612979130 -6 -9 192 2
  CEE 1 121.464388256 33.688160000 -116.699209467 -1.289761425 322.102750000 1.702188730 -6 -8 192 2
  CEE 1 110.454019098 42.110200000 -102.111808284 -1.179652150 322.102750000 1.791598532 -6 -7 192 1
  CEE 1 101.064480000 50.532240000 -87.524407100 -1.047197551 322.102750000 1.876009187 -6 -6 192 1
  CEE 1 93.783868349 58.954280000 -72.937005917 -0.891020680 322.102750000 1.947574951 -6 -5 192 1
  CEE 1 89.130493487 67.376320000 -58.349604734 -0.713724379 322.102750000 1.996531588 -6 -4 192 1
  CEE 1 87.524407100 75.798360000 -43.762203550 -0.523598776 322.102750000 2.014068034 -6 -3 192 1
  CEE 1 89.130493487 84.220400000 -29.174802367 -0.333473172 322.102750000 1.996531588 -6 -2 192 1
  CEE 1 93.783868349 92.642440000 -14.587401183 -0.156176871 322.102750000 1.947574951 -6 -1 192 1
  CEE 1 101.064480000 101.064480000 0.000000000 0.000000000 322.102750000 1.876009187 -6 0 192 1
